,table_names,table_vers,created_dates,updated_dates,descriptions,comments
3323,WK-3Q-RCRD,1,1995-01-25,1995-04-27,WORK/MAP RECORD FOR 3Q DIALOGS.,
3325,WK-3Q-SAVE-RCRD,1,1995-01-25,1995-04-27,WORK/MAP SAVE RECORD FOR 3Q DIALOGS.,
3446,WK-4Z-SAVE-RCRD,1,1995-01-25,1995-08-17,WORK RECORD FOR RH09A MAPS,
526,DBKEY-REC,1,1995-01-27,,,
3156,WK-1C2-RCRD,1,1995-01-28,1995-01-28,1C WORK RECORD,
1678,SDDLD213-MAPWORK,1,1995-01-30,1995-03-24,,
1681,SDDLD214-MAPWORK,1,1995-01-30,1996-04-19,WORK RECORD FOR NON-AMAS PYMTS,
2667,WK-IM-DBERROR-RCRD,1,1995-01-30,1995-01-31,IM HEADER RECORD,
601,EMP-FIRST-NAME,1,1995-01-31,1995-01-31,,
1080,MAIL-CDE-RCRD,1,1995-01-31,1995-01-31,MAIL-CDE FOR SUBROUTINE CALLS,
1685,SDDLD216-MAPWORK,1,1995-01-31,1995-01-31,CALL DATE RECAP SUMMARY WORK RECORD,
1743,SEBMAP-MAP-REC,1,1995-01-31,1995-01-31,USER DEFINED MAP RECORD,
1747,SEDLD217-MAPWORK,1,1995-01-31,1996-09-27,CALL DATE RECAP SUMMARY WORK RECORD,
1744,SEDLD216-MAPWORK,1,1995-02-01,1995-06-13,WORK MAP RECORD FOR RECAP DETAIL,
3445,WK-4Z-RCRD,1,1995-02-01,1995-04-27,WORK/MAP RECORD FOR 4Z DIALOGS.,
3184,WK-1F-SAVE-RCRD,8,1995-02-02,1995-02-02,SAVE RECORD FOR IM LOAN CLOSING,MAP RECORD FORMAT FOR IMMU1F00
3193,WK-1G-RCRD,8,1995-02-02,1995-03-03,WORK/MAP RECORD FOR 1G DIALOGS,
1363,REPT-RCRD-IRS,1,1995-02-03,1995-02-04,REPORT RECORD,THIS IS A REPORT RECORD CREATED FOR EACH TRANSACTION REPORTED TO THE IRS. IT IS CREATED IN SGMDD885.
2413,WK-BS-RCRD,1,1995-02-03,1995-05-11,WORK RECORD FOR BORR STATISTICAL CHANGES,
1011,LK-IM-BLK-RCRD,1,1995-02-04,1995-02-04,IM CONTROL INFO RCRD FOR BLOCK NUMBER,
2427,WK-CI-VARBL-DATA-RCRD,1,1995-02-06,1995-02-06,CONTROL INFO VARBL DATA WORK RCRD,
1295,QR-IMQUEUE,1,1995-02-07,1995-02-21,TEST,
1294,QR-IMCUSTWORK,1,1995-02-08,1995-02-21,WORK RECORD,
446,CNTRLTOT,2,1995-02-09,,AMAS CONTROL TOTAL DATABASE RECORD,AMAS CONTROL TOTAL DATABASE RECORD USED FOR ONLINE CASH PAYMENTS.
1929,SGDLD661-WORK-RCRD,8,1995-02-09,1995-04-19,SGDLD661 WORK RECORD,
931,IM-CNTL-MAP-RCRD,1,1995-02-11,1995-02-11,COMMON MAP RECORD,
999,KEYREC,1,1995-02-13,1995-02-13,INSURED OTC DIRECT LOAN COST SCREEN,
3457,WK-5F-5F-RCRD,1,1995-02-13,1995-05-11,COMMON RECORD FOR IM SUSPEND CD REMOVAL,
1682,SDDLD214-SUB,1,1995-02-14,1995-02-14,WORK RECORD FOR SDDLD214,
1683,SDDLD214-SUBSCRIPT-RCRD,1,1995-02-14,1995-02-14,WORK RECORD FOR NON-AMAS PYMTS,
1684,SDDLD214-WORK-RCRD,1,1995-02-14,1996-07-19,,
2953,WK-TEST,1,1995-02-14,,THIS RECORD CONTAINS THE TIME AND DATE,
3289,WK-3K-SAVE-RCRD,1,1995-02-15,1995-11-21,SAVE RECORD FOR WRITEOFF (3K),
1291,PYMTDSC,2,1995-02-16,1995-02-17,AMAS PAYMENT DISCREPANCY DATABASE RECORD,AMAS PAYMENT DISCREPANCY DATABASE RECORD USED FOR INPUT ON ONLINE CASH PAYMENTS.
3252,WK-1S-SAVE-RCRD,1,1995-02-16,1995-09-05,SAVE RECORD FOR 1S DIALOGS.,
2547,WK-FMHA-CASE-9,1,1995-02-16,,ACMU009 MAP WORK RECORD,
3590,WK3B-SAVE-RCRD,1,1995-02-16,1995-02-21,SAVE RECORD FOR JUDGMENT (3B),
3223,WK-1M-ACCLTN-RCRD,1,1995-02-17,1995-02-17,1M NEW RATES AND TERMS WORK RECORD,
3224,WK-1M-ACCLTN-SAVE-RCRD,1,1995-02-17,1995-02-17,1M ACCLTN SAVE RECORD,
3288,WK-3K-RCRD,1,1995-02-17,1995-06-06,,
3294,WK-3K1A0-RCRD,1,1995-02-17,1995-02-17,,
2662,WK-IM-ACCLTN-SAVE-RCRD,1,1995-02-17,1995-02-17,SAVE RECORD FOR ACCEL REPAY AGREEMENT,
2690,WK-IMDU1A21-RCRD,8,1995-02-17,1995-02-17,WORK RECORD FOR DIALOG IMDU1A21,
3589,WK3B-RCRD,1,1995-02-17,1995-02-21,WORK RECORD FOR JUDGMENT (3B),
3257,WK-1S4A0-RCRD,1,1995-02-21,1995-02-21,WORK RECORD FOR DIALOG 4A WITHIN 1S,
3251,WK-1S-RCRD,1,1995-02-22,1995-07-26,WORK RECORD FOR 1S PROCESS,
3273,WK-3B-RCRD,1,1995-02-22,1995-08-10,WORK RECORD FOR JUDGMENT (3B),
3274,WK-3B-SAVE-RCRD,1,1995-02-22,1995-08-11,SAVE RECORD FOR JUDGMENT (3B),
1010,LK-IM-ACTP-RCRD,1,1995-02-25,1995-02-25,IM CONTROL INFO LINK ACTN PNDG RECORD,
1746,SEDLD216-WORK-RCRD,1,1995-02-27,1995-07-20,WORK RECORD FOR DIALOG SEDLD216,
1748,SEDLD217-SORT-RCRD,1,1995-02-27,1996-04-19,SORT RECORD FOR DIALOG SEDLD217,
1749,SEDLD217-WORK-RCRD,1,1995-02-27,1996-07-24,WORK RECORD FOR DIALOG SEDLD217,
2209,UNCLCTB-TRNSCTN,1,1995-02-27,1995-02-27,,
3278,WK-3E-SAVE-RCRD,1,1995-03-01,1995-04-11,,
3466,WK-5L-RCRD,1,1995-03-01,1995-08-22,WORK RECORD FOR 5L,
3467,WK-5L-SAVE-RCRD,1,1995-03-01,1995-08-16,SAVE RECORD FOR 5L,
3277,WK-3E-RCRD,1,1995-03-02,1995-07-27,ACQUISTION - PROPERTY,
3160,WK-1D-RCRD,8,1995-03-03,1995-03-08,WORK RECORD FOR 1D,
692,FARMS-CLIENT-SFSI,5,1995-03-07,1999-11-18,CLIENT SFSI RECORD,CLIENT SFSI DATABASE RECORD  CONTAINS COMMON SFSI DATA FOR CLIENTS.
1153,NON-AMAS-RCRD,1,1995-03-07,1996-05-28,BUFFER FOR NON-AMAS SCREEN IMAGES,
1993,SLN-RCRD,8,1995-03-07,,SOC OBJ CLASS CODE DATA,
3584,WK-9G-SV-RCRD,2,1995-03-08,,MAIL CODE CHANGE 9G SAVE RECORD,WORK RECORD FOR THE 9G 'CHANGE IN BORROWER/PROPERTY MAIL CODE'
3157,WK-1D-PLUS-RCRD,1,1995-03-09,1995-05-18,WORK RECORD FOR 1D TRANSACTION,
3159,WK-1D-RCRD,1,1995-03-09,1995-06-12,WORK RECORD FOR 1D BUSINESS FUNCTION,
2669,WK-IM-SORT,1,1995-03-09,1995-04-10,SORT RECORD FOR RECAP,SORT RECORD  FOR THE MANUSCRIPTING RECAP
2775,WK-NR-1M-RCRD,2,1995-03-09,1995-03-23,NEW RATES AND TERMS WORK REC,
1333,REC,1,1995-03-10,1995-03-10,RECORD ELEMENT DESCRIPTION,
3405,WK-4K-SAVE-RCRD,1,1995-03-10,1995-05-10,REOPEN CLOSED PROP/LEASE ACCT (4K),"WORK RECORD FOR THE 4K 'REOPEN CLOSED BORROWER/HOLDER ACCOUNT' AND 'REOPEN CLOSED PROPERTY/LEASE ACCOUNT' SCREENS. CARD TYPE 2. MAPS ADMU4K01, ADMU4K02. PROGRAMS ADTU4K01, ADTU4K02"
3406,WK-4K-WRK-RCRD,1,1995-03-10,1995-04-27,4K REOPEN CLOSED EQUITY LOAN WORK RCRD,
3582,WK-9G-RCRD,1,1995-03-10,1995-04-27,MAIL CODE CHANGE IMDG9G01,WORK RECORD FOR THE 9G 'CHANGE IN BORROWER/PROPERTY MAIL CODE'
3583,WK-9G-SV-RCRD,1,1995-03-10,1995-05-11,MAIL CODE CHANGE 9G SAVE RECORD,WORK RECORD FOR THE 9G 'CHANGE IN BORROWER/PROPERTY MAIL CODE'
2773,WK-NR-SAVE-RCRD,2,1995-03-10,1995-03-15,NEW RATES AND TERMS SAVE REC,
1679,SDDLD213-WORK-RCRD,1,1995-03-13,1995-03-13,WORK RECORD FOR UNCOLLECTIBLE AMOUNTS,
1680,SDDLD213-WORK-RCRD2,1,1995-03-13,1995-03-13,WORK RECORD FOR UNCOLLECTIBLE AMOUNTS,
3459,WK-5G-SAVE-RCRD,1,1995-03-13,1996-08-07,SAVE RECORD FOR 5G/5H RECORD,
932,IM-CNTL-MAP-RCRD-2,1,1995-03-14,1995-03-23,IM MAP RCRD FOR 2 CASE NBR/LN NBR BF,
1612,SCDLD042,1,1995-03-14,,SCDLD121 MAPWORK,
1613,SCDLD042-WORK-RCRD,1,1995-03-14,1995-04-21,,
1675,SDDLD207-WORK-RCRD,1,1995-03-14,1995-05-19,WORK RECORD FOR SDDLD207,
3585,WK-9G-WRK-RCRD,1,1995-03-14,1995-04-27,9G MAIL CODE DIALOG WORK RECORD,
3191,WK-1G-COMPARE-RCRD,1,1995-03-15,1995-04-27,RCRD TO CHECK IF FIELD VALUE CHANGED(1G),
2335,WK-ADDGCALC-RCRD,1,1995-03-15,1995-03-23,DEVELOPMENT RECORD FOR ADPS CALCULATIONS,
2426,WK-CI-ROUTE-RCRD,1,1995-03-15,1995-03-18,IM CI ACTN PNDG QUEUE RECORD,
2663,WK-IM-CMPTN-RCRD,1,1995-03-15,1995-04-10,INITIAL MANUSCRIPTING COMPUTATION RECORD,
2701,WK-INCLUDE-RCRD,1,1995-03-15,1995-03-16,WORK RECORD FOR INCLUDE MOD IMYGC00003,
1676,SDDLD208-WORK-RCRD,1,1995-03-16,1995-09-06,WORK RECORD FOR UNCOLLECTIBLE AMOUNTS,
3073,WK-TSMUCP29,1,1995-03-16,1999-07-22,EZ/EC CODE UPDATE,DEFINES NEW EZ/EC CODES ADDED TO TABLE
1672,SDDLD205-WORK-RCRD,1,1995-03-17,1995-04-28,SDDLD207-MAPWORK,
2700,WK-IMYGC00002,1,1995-03-17,1995-03-17,WORK RECORD FOR INCLUDE MOD IMYGC00002,
3441,WK-4X-RCRD,1,1995-03-20,1995-09-07,WORK RECORD FOR PAYMENT CARDS,SAVE RECORD FOR PAYMENT CARDS
3030,WK-TSMUBI76,1,1995-03-20,1999-07-28,EZ/EC MAP WORK RECORD,MAP WORK RECORD FOR EZ/EC CODES
3338,WK-3R-RCRD,1,1995-03-21,1995-06-28,WORK/MAP RECORD FOR 3R DIALOGS.,
3340,WK-3R-SAVE-RCRD,1,1995-03-21,1995-04-27,WORK/MAP SAVE RECORD FOR 3R DIALOGS.,
2774,WK-NR-1M-RCRD,1,1995-03-21,2010-07-09,NEW RATES AND TERMS WORK RECORD,
2772,WK-NR-SAVE-RCRD,1,1995-03-21,1995-05-11,NEW RATES AND TERMS ASSMPTN SAVE REC,
3158,WK-1D-PLUS-RCRD,8,1995-03-22,1995-03-30,WORK RECORD FOR 1D TRANSACTION,
3161,WK-1D-WRK-RCRD,1,1995-03-22,1995-04-27,,
3502,WK-5W5Y-RCRD,1,1995-03-22,1995-06-06,TRANS 5X; CARD IMAGE TYPE 2 NUMBER 1,
3503,WK-5W5Y-SV-RCRD,1,1995-03-22,1995-07-31,,
858,FU00AH-DISBRSMT-RCRD,1,1995-03-23,1995-03-23,GUARNTD LOAN DISBRSMTS REPORT RCRD,
2051,STD-TX-RCRD,1,1995-03-23,1995-07-05,STANDARD TRANSACTION RECORD,
2424,WK-CI-BLK-RCRD,1,1995-03-25,1995-03-25,WORK RCRD FOR CI BLK NBR FOR DISCRP,
799,FARMS-STAT,2,1995-03-27,1999-11-18,,STATUS RECORD.  RECORDS VARIOUS STATUS CODES FOR CLIENTS.
3295,WK-3L-RCRD,1,1995-03-27,1995-04-05,,
3296,WK-3L-SAVE-RCRD,1,1995-03-27,1995-08-02,SAVE RECORD FOR 3L,
2698,WK-IMDU8R11-RCRD,1,1995-03-27,1995-05-11,WORK RECORD FOR DIALOG IMDU8R11,
2230,UPLOAD-TRANLOG,1,1995-03-28,1995-03-28,UPLOAD UNITS RECORD,
3239,WK-1M-RCRD,1,1995-03-28,1995-04-27,WORK/MAP RECORD FOR 1M DIALOGS.,
3375,WK-3V-RCRD,1,1995-03-29,1995-04-13,WORK RECORD FOR 3V DIALOGS.,
3376,WK-3V-SAVE-RCRD,1,1995-03-29,1995-04-10,SAVE RECORD FOR 3V DIALOGS.,
2860,WK-RECVB-MAP-RCRD,1,1995-03-29,1995-08-02,REPACK DAPROC RECORD,
3324,WK-3Q-RCRD,8,1995-03-30,,WORK/MAP RECORD FOR 3Q DIALOGS.,
2395,WK-BD-INQ-03,1,1995-03-30,1995-03-30,WORK RECORD,RECORD USED AS A SCRATCH IN CURRENT/PAST DEBTS SUBSYSTEM
2872,WK-RS-RCRD,1,1995-03-30,1995-05-23,"WORK REC FOR RS DIALOGS, FARMER PGM RSCH",
2873,WK-RS-SAVE-RCRD,1,1995-03-30,1995-05-19,"SAVE REC FOR RS DIALOGS, FARMER PGM RSCH",
3339,WK-3R-RCRD,8,1995-04-01,,WORK/MAP RECORD FOR 3R DIALOGS.,
2844,WK-RE-RCRD,1,1995-04-01,1995-05-18,"WORK REC FOR RE DIALOGS, FARM PGM REAMOR",
2845,WK-RE-SAVE-RCRD,1,1995-04-01,1995-07-12,"SAVE REC FOR RE DIALOGS, FARM PGM REAMOR",
3369,WK-3T-RCRD,1,1995-04-04,1995-04-06,3RD PARTY JUDGMENT MONETARY CARD,
3370,WK-3T-SAVE-RCRD,1,1995-04-04,1995-07-06,,
1230,PNDHIST,1,1995-04-06,1995-04-11,MTFS HISTORY OF PENDING RECORDS,MTSF PENDING DISCREPANCY RECORDS FROM MTFS BATCH UPLOAD/UPDATE TO BE CORRECTED AND RETRANSMITTED
2168,TRANHDR,1,1995-04-06,1995-04-11,,TRANSMISSION HEADER RECORD CREATED FROM MTFS UP01-UPLOAD-CONTROL RECORD
2217,UPDHIST,1,1995-04-06,1995-04-11,,HISTORY OF UPDATE RECORDS FROM BATCH UPL OAD SUCCESSFULLY UPDATED
3579,WK-9E-RCRD,1,1995-04-07,1995-04-20,WORK RECORD FOR 9E,
3580,WK-9E-SAVE-RCRD,1,1995-04-07,1995-04-11,SAVE RECORD FOR 9E,
3284,WK-3G-PLUS-RCRD,1,1995-04-10,1995-04-24,SAVE REC FOR ADMIN. ADJ. (3G),
3285,WK-3G-SAVE-RCRD,1,1995-04-10,1995-05-10,,
1769,SFDLD112-WORK-RCRD,1,1995-04-11,1995-04-21,ACQUIRED PROPERTY SUB SYSTEM MENU,
3215,WK-1H-SAVE-RCRD,1,1995-04-11,1995-08-16,,
3214,WK-1H-RCRD,1,1995-04-12,1995-07-14,CASH SALES CHARACTERISTICS - ACQD PROP,
3383,WK-3Y-RCRD,1,1995-04-12,1995-04-27,WORK RECORD FOR 3Y,
3384,WK-3Y-SAVE-RCRD,1,1995-04-12,1995-08-01,SAVE RECORD FOR 3Y,
2674,WK-IMDGRS01-RCRD,1,1995-04-12,1995-05-02,,
2446,WK-CMPTN-RCRD-2,1,1995-04-14,1996-08-28,MISC COMPUTUTATION WORK RECORD,
1674,SDDLD207-M2A-WORK-RCRD,1,1995-04-17,1995-05-18,WORK RECORD FOR SDDLD207,
2675,WK-IMDGRS02-RCRD,1,1995-04-17,1995-07-26,WORK RECORD FOR DIALOG IMDG1G01,
2770,WK-NR-PTH-KEY-RCRD,1,1995-04-18,1996-01-24,NEW RATES AND TERMS PATH KEYS,
2896,WK-SHM00092-MTFS,1,1995-04-18,1995-04-21,SHM00092 MAP RECORD,
2679,WK-IMDG4Z50-RCRD,1,1995-04-20,1995-05-30,WORK RECORD FOR DIALOG IMDG4Z50,
2672,WK-IMDGRE10-RCRD,1,1995-04-20,1995-04-20,WORK REC FOR IMDGRS01 FP RESCHEDULE INIT,
2680,WK-IMDUAC03-RCRD,1,1995-04-20,1995-04-20,INITIAL MANUSCRIPTING 1A WORK RECORD,
2681,WK-IMDUAC04-RCRD,1,1995-04-20,1995-04-20,,
2682,WK-IMDURE12-RCRD,1,1995-04-20,1995-04-20,,
2683,WK-IMDURE13-RCRD,1,1995-04-20,1995-04-20,,
859,FU00AJ-DISBRSMT-RCRD,1,1995-04-21,1995-04-21,GUARNTD LOAN DISBRSMTS REPORT RCRD,
1566,SBDLD508-WORKAREA,4,1995-04-21,1995-04-24,SBDLD508-WORKAREA,
1751,SEDLD218-WORK1-RCRD,1,1995-04-24,1996-08-21,SEDLD218 DIALOG WORK RECORD #1,
1752,SEDLD218-WORK2-RCRD,1,1995-04-24,2001-06-04,SEDLD218 DIALOG WORK RECORD #2,
2897,WK-SHM00093-MTFS,1,1995-04-24,1995-07-20,TRANMISSION LOG PENDING RECORD-MAP,
1614,SCDLD082-WORK-RCRD,1,1995-04-26,1995-06-20,,
2182,TRNSHDR,1,1995-04-26,1995-04-28,MTFS TRANSMISSION HEADER RECORD,TRANSMISSION HEADER RECORD CREATED FROM MTFS UP01-UPLOAD-CONTROL RECORD
2183,TRNSHST,1,1995-04-26,1995-04-27,MTFS HISTORY OF UPDATE  RECORDS,HISTORY OF UPDATE RECORDS FROM BATCH UPL OAD SUCCESSFULLY UPDATED
2185,TRNSPND,1,1995-04-26,1995-05-10,MTFS HISTORY OF PENDING RECORDS,MTSF PENDING DISCREPANCY RECORDS FROM MTFS BATCH UPLOAD/UPDATE TO BE CORRECTED AND RETRANSMITTED
2222,UPLOAD-ORIJECT,1,1995-04-26,,UPLOAD PROJECT TABLE,
2223,UPLOAD-ORIJECT,8,1995-04-26,1995-04-26,,
2225,UPLOAD-PROJECT,8,1995-04-26,1995-04-28,UPLOAD PROJECT TABLE,
3539,WK-8P-SAVE-RCRD,1,1995-04-26,1995-05-05,,
2899,WK-SHM00095-MTFS,1,1995-04-26,1995-07-20,,
3538,WK-8P-RCRD,1,1995-04-27,1995-05-25,SIGN FIELDS FOR CAPITAL IMPROVEMENTS,
2898,WK-SHM00094-MTFS,1,1995-04-27,1995-08-04,,
1140,MTFSPROJ,3,1995-04-28,1995-05-04,MULTI-TENANT FILE SYSTEM PROJECT,AMAS TENANT FILE PROJECT DATABASE RECORD CONTAINING PROJECT AND MANAGEMENT INFORMATION.
1750,SEDLD218-WORK-RCRD,1,1995-04-29,1995-05-01,WORK RECORD FOR DIALOG SEDLD218,
2673,WK-IMDGRE11-RCRD,1,1995-05-01,1995-05-01,,
2419,WK-CB-INQ-01,1,1995-05-02,1995-05-03,CREDIT BUREAU INQUIRY WORK RECORD,
2684,WK-IMDURS03-RCRD,1,1995-05-02,1995-05-02,,
2685,WK-IMDURS04-RCRD,1,1995-05-02,1995-05-02,,
1288,PYMT-TRNSCTN,8,1995-05-04,1995-05-18,PAYMENT-TRANSACTION,PAYMENT-TRANSACTION REDEFINES W008-TRNSCTN-DTL-AREA-MFH
2219,UPLOAD-CONTROL,2,1995-05-09,1995-05-10,MTFS UPLOAD CONTROL RECORD,
2221,UPLOAD-MTFSPROJ,2,1995-05-09,1995-12-05,MTFS UPLOAD CONTROL RECORD,
2227,UPLOAD-RENT,2,1995-05-09,1995-12-05,UPLOAD RENT RECORD,
2231,UPLOAD-UNITS,2,1995-05-09,1995-12-05,,
1249,PROFILE-LINK,1,1995-05-11,1995-05-11,USER PROFILE LINKAGE,
1358,RENT,3,1995-05-11,,AMAS TENANT FILE RENT,AMAS TENANT FILE RENT DATABASE RECORD CONTAINING VARIABLE RENT AND RENTAL ASSISTANCE INFORMATION BASED ON UNIT TYPE AND UNIT SIZE.
1913,SGDLD631-WORK-RCRD,8,1995-05-11,1995-06-09,SYSTEM MENU WORK RECORD,SYSTEM MENU WORK RECORD
2138,TENANT,3,1995-05-11,,AMAS TENANT FILE TENANT,"AMAS TENANT FILE TENANT DATABASE RECORD CONTAINING TENANT, STATUS, CO-TENANT, TENANT CASHFLOW, DEPENDENT INFORMATION; AND MONTHLY BILLING INFORMATION."
2211,UNITS,3,1995-05-11,,AMAS TENANT FILE UNITS,AMAS TENANT FILE UNITS DATABASE RECORD CONTAINING TENANT OCCUPANCY INFORMATION RELATING TO A SPECIFIC PROJECT AND RENT DATABASE RECORD.
2900,WK-SHM00100-MTFS,1,1995-05-11,1995-08-04,,
1928,SGDLD661-WORK-RCRD,4,1995-05-12,1995-05-12,SGDLD661 WORK RECORD,
2451,WK-CNTRL-BLK-MFH,4,1995-05-12,1995-05-12,CONTROL BLOCK WORK RECORD,WORK CONTROL BLOCK REC USED BY SGDLD661
1753,SEDLD219-WORK1-RCRD,1,1995-05-16,1995-05-16,WORK RECORD #1 FOR DIALOG SEDLD219,
1754,SEDLD219-WORK2-RCRD,1,1995-05-17,1995-05-25,WORK RECORD #2 FOR DIALOG SEDLD219,
1132,MTFS-COMMON-WORK-RECD,1,1995-05-19,1995-06-01,COMMUNICATION RECORD MTFS,
2902,WK-SHM00200-MTFS,1,1995-05-19,1995-07-10,,
2903,WK-SHM00300-MTFS,1,1995-05-26,1995-07-10,TRANSMISSION LOG HISTORY MAP RECORD,
2904,WK-SHM00400-MTFS,1,1995-05-26,1995-06-06,TRANSMISSION ERROR LOG MAP RECORD,
2431,WK-CI2-RCRD,1,1995-05-30,1995-07-27,WRK RCRD FOR CI MULTI TRANS & 3K PROCESS,
2787,WK-OLD-CASE-NR-RCRD,1,1995-05-30,1995-05-30,ORIGINAL YEAR RECORD,
1745,SEDLD216-MAPWORK,8,1995-06-03,1995-06-03,WORK MAP RECORD FOR RECAP DETAIL,
820,FFIM99-MAP-WK-REC,1,1995-06-09,1995-06-09,WORK RECORD FOR TRIAL BALANCES,
585,DPST-FD-2A-COLL-RCRD,1,1995-06-12,1995-06-13,DEPOSIT FUND 2A COLLECTION RECORD,
586,DPST-FD-2X-COLL-RCRD,1,1995-06-12,1995-11-03,DEPOSIT FUND 2X COLLECTION RECORD,
3474,WK-5M-03,1,1995-06-12,1996-05-15,ADPS TRANSACTION WORK RECORD,RECORDS USED IN PGM ADTU5M01 / MAP ADMU5M01
650,FARMS-ACCT-DATA,9,1995-06-13,1999-11-18,,ACCOUNT DATA DATABASE RECORD. CONTAINS COMMON DATA FOR CLIENT LOAN AND GRANT ACCOUNTS.
2220,UPLOAD-MTFSPROJ,1,1995-06-14,1995-06-14,MTFS UPLOAD CONTROL RECORD,
3400,WK-4D-SAVE-RCRD,1,1995-06-14,1995-11-30,SAVE RECORD FOR 4D,
2765,WK-NC-RCRD,1,1995-06-15,1995-12-04,SAVE RECORD FOR 4A/4C DIALOGS.,
2766,WK-NC-SAVE-RCRD,1,1995-06-15,1995-11-29,,
1628,SCPMD082,8,1995-06-21,,NAMES SCRATCHES AND QUEUES,
1629,SCPRD082,8,1995-06-21,,,
1013,LK-IM-MULTI-LN-RCRD,1,1995-06-27,1995-06-28,LINK RECORD FOR IM MULTI LN BFS,
685,FARMS-CLIENT,11,1995-06-30,1999-11-18,CLIENT RECORD,CLIENT DATABASE RECORD.  CONTAINS COMMON DATA ON CLIENTS.
767,FARMS-ORGZTN-LOOKUP,1,1995-06-30,1999-11-18,,ORGANIZATION LOOKUP DATABASE RECORD. PART OF FIELD OFFICE LOOKUP INFORMATION IF LOAN IS  ASSIGNED TO A FSA FIELD OFFICE.
1064,LOCTN-LOOKUP,2,1995-06-30,1999-11-18,FMHA LOCATION DATA,LOCATION LOOKUP DATABASE RECORD.  LOOKUP TABLE FOR VALID STATE AND COUNTY OFFICE CODES.
3601,WORK-RCRD-9GMAP,1,1995-07-07,1995-07-07,MAP WORK RECORD,USED TO MAP OUT FIELDS ON THE 9G MAP
1560,SBDLD504-WORK2-AREA,1,1995-07-12,2016-06-27,WORK RECORD #2 FOR DIALOG SBDLD504,
2284,W-ST-CTY-CDES,1,1995-07-12,1995-07-18,RECORD CODES FOR C-6929,
596,DUMMY,1,1995-07-14,,DUMMY,DUMMY
2430,WK-CI-5M-RCRD,1,1995-07-14,1995-07-17,WORK RECORD FOR CI 5M VRBL DATA,
2429,WK-CI-3K-RCRD,1,1995-07-20,1995-07-28,CONTROL INFO 3K VRBL RECORD,
2228,UPLOAD-TENANT,1,1995-07-21,1995-12-05,UPLOAD TENANT RECORD,
500,CTYCDE,2,1995-07-25,1995-07-26,COUNTY CODE,
1254,PROJECT,8,1995-07-25,1995-07-26,PROJECT MULTI FAM HOUSG DATABASE RCRD,PROJECT MULTI FAMILY HOUSING DATABASE RECORD.
2252,USERTRAN,1,1995-07-25,1995-07-26,USER TRANSACTIONS,
2901,WK-SHM00100-MTFS,8,1995-07-25,1995-08-07,,
1731,SDDLD700-WORK-RCRD,1,1995-07-26,1995-09-06,WORK RECORD FOR M9G MAP,
2722,WK-LA-INQ-01,1,1995-07-26,1995-08-15,LISTING OF ALL LOANS WORK RECORD,
2905,WK-SHM00400-MTFS,8,1995-07-27,1995-07-27,TRANSMISSION ERROR LOG MAP RECORD,
1730,SDDLD700-MAP-WORK,1,1995-07-28,1995-09-06,WORK RECORD FOR M9G MAP,
2281,W-RECD-CDES,1,1995-07-31,1995-07-31,RECORD FOR NEW FIELDS FOR RECD SCREEN,
2428,WK-CI-3B-RCRD,1,1995-07-31,1995-07-31,CONTROL INFO 3B VARBL RCRD,
715,FARMS-DTEREC,1,1995-08-01,1999-11-18,EFFECTIVE COHORT/SUBSIDY RATE PERIOD,EFFECTIVE COHORT/SUBSIDY RATE PERIOD
1740,SDM1X560-MAP-WORK,1,1995-08-02,1995-08-02,SDDLD560 SECOND MAP WORK RECORD,AN ADDITIONAL MAP WORK RECORD FOR THE DIALOG PROCESS SDDLD540 TO HANDLE NEW FIELDS ONLY FOR THIS PROCESS
2771,WK-NR-RCRD-1,1,1995-08-10,1995-08-10,WORK RECORD FOR IMDUNR10,
1088,MAP-2-WORK-RCRD,1,1995-08-16,1995-08-26,MAP WORK RECORD,
1774,SGCLD112,1,1995-08-17,,AMAS SSN XREF INTERFACE RECORD,
411,CHKISSN,5,1995-08-23,,CHKISSN,AMAS DATABASE RECORD USED TO STORE CHECK INFORMATION.
2519,WK-DTEREC,1,1995-08-24,1995-08-24,DTEREC WORK RECORD,
2875,WK-RV01-INQ,1,1995-08-25,1996-02-09,MAP WORK RECORD FOR ADMIRV01,THIS MAP WORK RECORD IS ATTACHED TO ADMI RV01 MAP TO RECEIVE DATA BASE INFO.
2876,WK-RV02-INQ,1,1995-08-25,,MAP WORK RECORD FOR ADMIRV02,THIS MAP WORK RECORD IS ATTACHED TO MAP ADMIRV02 TO RECEIVE DATA BASE INFORMATIO N.
2877,WK-RV03-INQ,1,1995-08-25,,MAP WORK RECORD FOR ADMIRV03,THIS MAP WORK RECORD IS ATTACHED TO MAP ADMIRV03 TO RECEIVE DATA BASE INFORMATIO N.
1894,SGDLD456-WORK-RCRD,1,1995-08-28,1995-08-29,COUNTY CODE TABLE WORK REC,
1554,SBDLD502-WORK-RCRD,1,1995-08-30,1998-08-24,ADD MAIL CODES FOR RECD AND FSA,
1889,SGDLD400-MAP-RCRD,1,1995-08-30,1995-08-30,USER ID RECORD FOR 2ND USER,RECORD USER FOR 2ND ID USED FOR AMAS SECURITY SCREEN.
2388,WK-ASSTNC-TYP-CDE-SORT-RCRD,1,1995-08-30,1995-08-30,,
1939,SGDLD711-WORK-RCRD,1,1995-09-01,1995-09-20,WORK RECORD FOR SGDLD711,
